joint_id,member_id,member_group,lane,piece_a,piece_b,joint_type,overlap_length_mm,glue_area_mm2,force_transfer_N,glue_shear_MPa,glue_allow_design_MPa,FS_glue_shear,FS_glue_shear_label,risk_flag
J-M032-L01-P01-02,32,vertical,1,M032-L01-P01,M032-L01-P02,lap_overlap,30.0,210.0,36.28934600902481,0.1728064095667848,1.75,10.126939182332091,10.127,OK
J-M032-L02-P01-02,32,vertical,2,M032-L02-P01,M032-L02-P02,lap_overlap,30.0,210.0,36.28934600902481,0.1728064095667848,1.75,10.126939182332091,10.127,OK
J-M032-L03-P01-02,32,vertical,3,M032-L03-P01,M032-L03-P02,lap_overlap,30.0,210.0,36.28934600902481,0.1728064095667848,1.75,10.126939182332091,10.127,OK
J-M033-L01-P01-02,33,vertical,1,M033-L01-P01,M033-L01-P02,lap_overlap,30.0,210.0,27.95468707472332,0.13311755749868248,1.75,13.146274863233728,13.146,OK
J-M033-L02-P01-02,33,vertical,2,M033-L02-P01,M033-L02-P02,lap_overlap,30.0,210.0,27.95468707472332,0.13311755749868248,1.75,13.146274863233728,13.146,OK
J-M033-L03-P01-02,33,vertical,3,M033-L03-P01,M033-L03-P02,lap_overlap,30.0,210.0,27.95468707472332,0.13311755749868248,1.75,13.146274863233728,13.146,OK
J-M034-L01-P01-02,34,vertical,1,M034-L01-P01,M034-L01-P02,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M034-L01-P02-03,34,vertical,1,M034-L01-P02,M034-L01-P03,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M034-L02-P01-02,34,vertical,2,M034-L02-P01,M034-L02-P02,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M034-L02-P02-03,34,vertical,2,M034-L02-P02,M034-L02-P03,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M034-L03-P01-02,34,vertical,3,M034-L03-P01,M034-L03-P02,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M034-L03-P02-03,34,vertical,3,M034-L03-P02,M034-L03-P03,lap_overlap,30.0,210.0,22.52676645162735,0.1072703164363207,1.75,16.313925959553398,16.314,OK
J-M035-L01-P01-02,35,vertical,1,M035-L01-P01,M035-L01-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L01-P02-03,35,vertical,1,M035-L01-P02,M035-L01-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L02-P01-02,35,vertical,2,M035-L02-P01,M035-L02-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L02-P02-03,35,vertical,2,M035-L02-P02,M035-L02-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L03-P01-02,35,vertical,3,M035-L03-P01,M035-L03-P02,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M035-L03-P02-03,35,vertical,3,M035-L03-P02,M035-L03-P03,lap_overlap,30.0,210.0,40.386982140282164,0.1923189625727722,1.75,9.09946672230936,9.099,OK
J-M036-L01-P01-02,36,vertical,1,M036-L01-P01,M036-L01-P02,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M036-L01-P02-03,36,vertical,1,M036-L01-P02,M036-L01-P03,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M036-L02-P01-02,36,vertical,2,M036-L02-P01,M036-L02-P02,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M036-L02-P02-03,36,vertical,2,M036-L02-P02,M036-L02-P03,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M036-L03-P01-02,36,vertical,3,M036-L03-P01,M036-L03-P02,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M036-L03-P02-03,36,vertical,3,M036-L03-P02,M036-L03-P03,lap_overlap,30.0,210.0,25.622455611130068,0.12201169338633365,1.75,14.342887566184825,14.343,OK
J-M037-L01-P01-02,37,vertical,1,M037-L01-P01,M037-L01-P02,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M037-L01-P02-03,37,vertical,1,M037-L01-P02,M037-L01-P03,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M037-L02-P01-02,37,vertical,2,M037-L02-P01,M037-L02-P02,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M037-L02-P02-03,37,vertical,2,M037-L02-P02,M037-L02-P03,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M037-L03-P01-02,37,vertical,3,M037-L03-P01,M037-L03-P02,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M037-L03-P02-03,37,vertical,3,M037-L03-P02,M037-L03-P03,lap_overlap,30.0,210.0,36.480377730679244,0.17371608443180592,1.75,10.07390884801448,10.074,OK
J-M038-L01-P01-02,38,vertical,1,M038-L01-P01,M038-L01-P02,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M038-L01-P02-03,38,vertical,1,M038-L01-P02,M038-L01-P03,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M038-L02-P01-02,38,vertical,2,M038-L02-P01,M038-L02-P02,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M038-L02-P02-03,38,vertical,2,M038-L02-P02,M038-L02-P03,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M038-L03-P01-02,38,vertical,3,M038-L03-P01,M038-L03-P02,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M038-L03-P02-03,38,vertical,3,M038-L03-P02,M038-L03-P03,lap_overlap,30.0,210.0,20.177124081240482,0.0960815432440023,1.75,18.213695793330633,18.214,OK
J-M039-L01-P01-02,39,vertical,1,M039-L01-P01,M039-L01-P02,lap_overlap,30.0,210.0,24.883906885617648,0.11849479469341737,1.75,14.76858122357012,14.769,OK
J-M039-L02-P01-02,39,vertical,2,M039-L02-P01,M039-L02-P02,lap_overlap,30.0,210.0,24.883906885617648,0.11849479469341737,1.75,14.76858122357012,14.769,OK
J-M039-L03-P01-02,39,vertical,3,M039-L03-P01,M039-L03-P02,lap_overlap,30.0,210.0,24.883906885617648,0.11849479469341737,1.75,14.76858122357012,14.769,OK
