member_id,group,role,n_lanes_sticks,pieces_per_lane,total_piece_count,member_length_mm,layout,section_A_mm2,section_Iy_mm4,section_Iz_mm4,section_J_mm4_est,radius_y_mm,radius_z_mm,slenderness_y,slenderness_z,N_member_N,N_per_lane_N,sigma_axial_member_MPa,sigma_axial_piece_MPa,M_imperfection_Nmm,sigma_bending_est_MPa,sigma_combined_est_MPa,glue_area_total_mm2,glue_mass_est_g,FS_min_global,FS_min_global_label,FS_min_glue,FS_min_glue_label,governing_mode_global,report_mode_global,suggested_action
1,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,0.09232170521076502,0.023080426302691255,0.0021981358383515483,0.0021981358383515483,0.0,0.0,0.0021981358383515483,0.0,0.0,30592.10392130707,30592.104,,sem solicitação,tension_capacity,tension_capacity,manter
2,top_chord,primary,5,1,5,100.0,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,13.571511067511485,12.86923396254469,-0.3692868208266087,-0.07385736416532174,-0.007034034682411594,-0.007034034682411594,0.7385736416532174,0.003458466116600197,0.013225343973702243,0.0,0.0,730.2802585706795,730.280,,sem solicitação,compression_direct,compression_direct,manter
3,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,-2.5331214703605798,-0.6332803675901449,-0.06031241596096618,-0.06031241596096618,5.0662429407211595,0.12062483192193237,0.28432996095884056,0.0,0.0,85.17013594665453,85.170,,sem solicitação,compression_direct,compression_direct,manter
4,top_chord,primary,5,1,5,106.51030205780306,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814657,13.707059966031728,-228.18169367387904,-45.636338734775805,-4.346317974740553,-4.346317974740553,456.3633873477581,2.136980286036501,8.171917374641287,0.0,0.0,1.1818777863286223,1.182,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
5,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,208.86548138691444,52.21637034672861,4.972987652069391,4.972987652069391,0.0,0.0,4.972987652069391,0.0,0.0,13.522173129068063,13.522,,sem solicitação,tension_capacity,tension_capacity,manter
6,top_chord,primary,5,1,5,106.51030205780306,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814657,13.707059966031728,-335.9328135841853,-67.18656271683706,-6.398720258746386,-6.398720258746387,671.8656271683706,3.146097254796377,12.030830132956424,0.0,0.0,0.802788129336514,0.803,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
7,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,309.3569539261138,77.33923848152845,7.365641760145567,7.365641760145567,0.0,0.0,7.365641760145567,0.0,0.0,9.129632174599681,9.130,,sem solicitação,tension_capacity,tension_capacity,manter
8,top_chord,primary,5,1,5,106.51030205780305,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814655,13.707059966031727,-397.0048819690408,-79.40097639380816,-7.561997751791253,-7.561997751791254,794.0097639380816,3.7180528927119934,14.218016531234145,0.0,0.0,0.67929359876494,0.679,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
9,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,366.5934870678903,91.64837176697257,8.728416358759294,8.728416358759294,0.0,0.0,8.728416358759294,0.0,0.0,7.704215431074908,7.704,,sem solicitação,tension_capacity,tension_capacity,manter
10,top_chord,primary,5,1,5,106.51030205780305,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814655,13.707059966031727,-435.37401429713947,-87.07480285942789,-8.292838367564562,-8.292838367564562,870.7480285942789,4.077389691634434,15.592138066023129,0.0,0.0,0.6194280461027778,0.619,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
