stick_id,member_id,member_group,lane,piece_index,s0_mm,s1_mm,cut_length_mm,x0_mm,y0_mm,z0_mm,x1_mm,y1_mm,z1_mm,N_piece_N,sigma_axial_piece_MPa,member_state,mass_g
M001-L01-P01,1,bottom_chord,1,1,0.0,100.0,100.0,-100.0,-85.0,0.0,0.0,-85.0,0.0,0.023080426302691255,0.0021981358383515483,tension,1.1666666666666667
M001-L02-P01,1,bottom_chord,2,1,0.0,100.0,100.0,-100.0,-85.0,0.0,0.0,-85.0,0.0,0.023080426302691255,0.0021981358383515483,tension,1.1666666666666667
M001-L03-P01,1,bottom_chord,3,1,0.0,100.0,100.0,-100.0,-85.0,0.0,0.0,-85.0,0.0,0.023080426302691255,0.0021981358383515483,tension,1.1666666666666667
M001-L04-P01,1,bottom_chord,4,1,0.0,100.0,100.0,-100.0,-85.0,0.0,0.0,-85.0,0.0,0.023080426302691255,0.0021981358383515483,tension,1.1666666666666667
M002-L01-P01,2,top_chord,1,1,0.0,100.0,100.0,-100.0,-85.0,73.33333333333333,0.0,-85.0,73.33333333333333,-0.07385736416532174,-0.007034034682411594,compression,1.1666666666666667
M002-L02-P01,2,top_chord,2,1,0.0,100.0,100.0,-100.0,-85.0,73.33333333333333,0.0,-85.0,73.33333333333333,-0.07385736416532174,-0.007034034682411594,compression,1.1666666666666667
M002-L03-P01,2,top_chord,3,1,0.0,100.0,100.0,-100.0,-85.0,73.33333333333333,0.0,-85.0,73.33333333333333,-0.07385736416532174,-0.007034034682411594,compression,1.1666666666666667
M002-L04-P01,2,top_chord,4,1,0.0,100.0,100.0,-100.0,-85.0,73.33333333333333,0.0,-85.0,73.33333333333333,-0.07385736416532174,-0.007034034682411594,compression,1.1666666666666667
M002-L05-P01,2,top_chord,5,1,0.0,100.0,100.0,-100.0,-85.0,73.33333333333333,0.0,-85.0,73.33333333333333,-0.07385736416532174,-0.007034034682411594,compression,1.1666666666666667
M003-L01-P01,3,bottom_chord,1,1,0.0,100.0,100.0,0.0,-85.0,0.0,100.0,-85.0,0.0,-0.6332803675901449,-0.06031241596096618,compression,1.1666666666666667
M003-L02-P01,3,bottom_chord,2,1,0.0,100.0,100.0,0.0,-85.0,0.0,100.0,-85.0,0.0,-0.6332803675901449,-0.06031241596096618,compression,1.1666666666666667
M003-L03-P01,3,bottom_chord,3,1,0.0,100.0,100.0,0.0,-85.0,0.0,100.0,-85.0,0.0,-0.6332803675901449,-0.06031241596096618,compression,1.1666666666666667
M003-L04-P01,3,bottom_chord,4,1,0.0,100.0,100.0,0.0,-85.0,0.0,100.0,-85.0,0.0,-0.6332803675901449,-0.06031241596096618,compression,1.1666666666666667
M004-L01-P01,4,top_chord,1,1,0.0,106.51030205780306,106.51030205780306,0.0,-85.0,73.33333333333333,100.0,-85.0,110.0,-45.636338734775805,-4.346317974740553,compression,1.242620190674369
M004-L02-P01,4,top_chord,2,1,0.0,106.51030205780306,106.51030205780306,0.0,-85.0,73.33333333333333,100.0,-85.0,110.0,-45.636338734775805,-4.346317974740553,compression,1.242620190674369
M004-L03-P01,4,top_chord,3,1,0.0,106.51030205780306,106.51030205780306,0.0,-85.0,73.33333333333333,100.0,-85.0,110.0,-45.636338734775805,-4.346317974740553,compression,1.242620190674369
M004-L04-P01,4,top_chord,4,1,0.0,106.51030205780306,106.51030205780306,0.0,-85.0,73.33333333333333,100.0,-85.0,110.0,-45.636338734775805,-4.346317974740553,compression,1.242620190674369
M004-L05-P01,4,top_chord,5,1,0.0,106.51030205780306,106.51030205780306,0.0,-85.0,73.33333333333333,100.0,-85.0,110.0,-45.636338734775805,-4.346317974740553,compression,1.242620190674369
M005-L01-P01,5,bottom_chord,1,1,0.0,100.0,100.0,100.0,-85.0,0.0,200.0,-85.0,0.0,52.21637034672861,4.972987652069391,tension,1.1666666666666667
M005-L02-P01,5,bottom_chord,2,1,0.0,100.0,100.0,100.0,-85.0,0.0,200.0,-85.0,0.0,52.21637034672861,4.972987652069391,tension,1.1666666666666667
M005-L03-P01,5,bottom_chord,3,1,0.0,100.0,100.0,100.0,-85.0,0.0,200.0,-85.0,0.0,52.21637034672861,4.972987652069391,tension,1.1666666666666667
M005-L04-P01,5,bottom_chord,4,1,0.0,100.0,100.0,100.0,-85.0,0.0,200.0,-85.0,0.0,52.21637034672861,4.972987652069391,tension,1.1666666666666667
M006-L01-P01,6,top_chord,1,1,0.0,106.51030205780306,106.51030205780306,100.0,-85.0,110.0,200.0,-85.0,146.66666666666669,-67.18656271683706,-6.398720258746387,compression,1.242620190674369
M006-L02-P01,6,top_chord,2,1,0.0,106.51030205780306,106.51030205780306,100.0,-85.0,110.0,200.0,-85.0,146.66666666666669,-67.18656271683706,-6.398720258746387,compression,1.242620190674369
M006-L03-P01,6,top_chord,3,1,0.0,106.51030205780306,106.51030205780306,100.0,-85.0,110.0,200.0,-85.0,146.66666666666669,-67.18656271683706,-6.398720258746387,compression,1.242620190674369
M006-L04-P01,6,top_chord,4,1,0.0,106.51030205780306,106.51030205780306,100.0,-85.0,110.0,200.0,-85.0,146.66666666666669,-67.18656271683706,-6.398720258746387,compression,1.242620190674369
M006-L05-P01,6,top_chord,5,1,0.0,106.51030205780306,106.51030205780306,100.0,-85.0,110.0,200.0,-85.0,146.66666666666669,-67.18656271683706,-6.398720258746387,compression,1.242620190674369
M007-L01-P01,7,bottom_chord,1,1,0.0,100.0,100.0,200.0,-85.0,0.0,300.0,-85.0,0.0,77.33923848152845,7.365641760145567,tension,1.1666666666666667
M007-L02-P01,7,bottom_chord,2,1,0.0,100.0,100.0,200.0,-85.0,0.0,300.0,-85.0,0.0,77.33923848152845,7.365641760145567,tension,1.1666666666666667
M007-L03-P01,7,bottom_chord,3,1,0.0,100.0,100.0,200.0,-85.0,0.0,300.0,-85.0,0.0,77.33923848152845,7.365641760145567,tension,1.1666666666666667
M007-L04-P01,7,bottom_chord,4,1,0.0,100.0,100.0,200.0,-85.0,0.0,300.0,-85.0,0.0,77.33923848152845,7.365641760145567,tension,1.1666666666666667
M008-L01-P01,8,top_chord,1,1,0.0,106.51030205780305,106.51030205780305,200.0,-85.0,146.66666666666669,300.0,-85.0,183.33333333333334,-79.40097639380816,-7.561997751791254,compression,1.2426201906743688
M008-L02-P01,8,top_chord,2,1,0.0,106.51030205780305,106.51030205780305,200.0,-85.0,146.66666666666669,300.0,-85.0,183.33333333333334,-79.40097639380816,-7.561997751791254,compression,1.2426201906743688
M008-L03-P01,8,top_chord,3,1,0.0,106.51030205780305,106.51030205780305,200.0,-85.0,146.66666666666669,300.0,-85.0,183.33333333333334,-79.40097639380816,-7.561997751791254,compression,1.2426201906743688
M008-L04-P01,8,top_chord,4,1,0.0,106.51030205780305,106.51030205780305,200.0,-85.0,146.66666666666669,300.0,-85.0,183.33333333333334,-79.40097639380816,-7.561997751791254,compression,1.2426201906743688
M008-L05-P01,8,top_chord,5,1,0.0,106.51030205780305,106.51030205780305,200.0,-85.0,146.66666666666669,300.0,-85.0,183.33333333333334,-79.40097639380816,-7.561997751791254,compression,1.2426201906743688
M009-L01-P01,9,bottom_chord,1,1,0.0,100.0,100.0,300.0,-85.0,0.0,400.0,-85.0,0.0,91.64837176697257,8.728416358759294,tension,1.1666666666666667
M009-L02-P01,9,bottom_chord,2,1,0.0,100.0,100.0,300.0,-85.0,0.0,400.0,-85.0,0.0,91.64837176697257,8.728416358759294,tension,1.1666666666666667
M009-L03-P01,9,bottom_chord,3,1,0.0,100.0,100.0,300.0,-85.0,0.0,400.0,-85.0,0.0,91.64837176697257,8.728416358759294,tension,1.1666666666666667
M009-L04-P01,9,bottom_chord,4,1,0.0,100.0,100.0,300.0,-85.0,0.0,400.0,-85.0,0.0,91.64837176697257,8.728416358759294,tension,1.1666666666666667
M010-L01-P01,10,top_chord,1,1,0.0,106.51030205780305,106.51030205780305,300.0,-85.0,183.33333333333334,400.0,-85.0,220.0,-87.07480285942789,-8.292838367564562,compression,1.2426201906743688
M010-L02-P01,10,top_chord,2,1,0.0,106.51030205780305,106.51030205780305,300.0,-85.0,183.33333333333334,400.0,-85.0,220.0,-87.07480285942789,-8.292838367564562,compression,1.2426201906743688
M010-L03-P01,10,top_chord,3,1,0.0,106.51030205780305,106.51030205780305,300.0,-85.0,183.33333333333334,400.0,-85.0,220.0,-87.07480285942789,-8.292838367564562,compression,1.2426201906743688
M010-L04-P01,10,top_chord,4,1,0.0,106.51030205780305,106.51030205780305,300.0,-85.0,183.33333333333334,400.0,-85.0,220.0,-87.07480285942789,-8.292838367564562,compression,1.2426201906743688
M010-L05-P01,10,top_chord,5,1,0.0,106.51030205780305,106.51030205780305,300.0,-85.0,183.33333333333334,400.0,-85.0,220.0,-87.07480285942789,-8.292838367564562,compression,1.2426201906743688
M011-L01-P01,11,bottom_chord,1,1,0.0,100.0,100.0,400.0,-85.0,0.0,500.0,-85.0,0.0,100.60080078886834,9.58102864655889,tension,1.1666666666666667
M011-L02-P01,11,bottom_chord,2,1,0.0,100.0,100.0,400.0,-85.0,0.0,500.0,-85.0,0.0,100.60080078886834,9.58102864655889,tension,1.1666666666666667
