member_id,group,role,n_lanes_sticks,pieces_per_lane,total_piece_count,member_length_mm,layout,section_A_mm2,section_Iy_mm4,section_Iz_mm4,section_J_mm4_est,radius_y_mm,radius_z_mm,slenderness_y,slenderness_z,N_member_N,N_per_lane_N,sigma_axial_member_MPa,sigma_axial_piece_MPa,M_imperfection_Nmm,sigma_bending_est_MPa,sigma_combined_est_MPa,glue_area_total_mm2,glue_mass_est_g,FS_min_global,FS_min_global_label,FS_min_glue,FS_min_glue_label,governing_mode_global,report_mode_global,suggested_action
218,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-21.8596632805468,-21.8596632805468,-2.0818726933854097,-2.0818726933854097,43.7193265610936,16.654981547083278,22.30577885770082,420.0,0.1033846153846154,0.06899515665510557,0.069,16.811786864395255,16.812,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
213,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-21.85960489021475,-21.85960489021475,-2.081867132401405,-2.081867132401405,43.7192097804295,16.65493705921124,22.305719275729338,420.0,0.1033846153846154,0.06899534095167119,0.069,16.811831771237,16.812,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
214,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-21.33263746416224,-21.33263746416224,-2.031679758491642,-2.031679758491642,42.66527492832448,16.253438067933136,21.76799741241045,420.0,0.1033846153846154,0.07069969172836242,0.071,17.227124429287358,17.227,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
217,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-21.33257907383066,-21.33257907383066,-2.031674197507682,-2.031674197507682,42.66515814766132,16.253393580061456,21.76793783043945,420.0,0.1033846153846154,0.07069988524356882,0.071,17.227171582400164,17.227,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
216,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-14.397446111787904,-14.397446111787904,-1.3711853439798003,-1.3711853439798003,28.794892223575808,10.969482751838404,14.691271542640719,420.0,0.1033846153846154,0.10475544626170459,0.105,25.525360341450387,25.525,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
215,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-14.397382124463405,-14.397382124463405,-1.3711792499488957,-1.3711792499488957,28.79476424892681,10.969433999591166,14.691206249452453,420.0,0.1033846153846154,0.10475591183389507,0.105,25.52547378565163,25.525,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
220,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-12.295619047078524,-12.295619047078524,-1.1710113378170024,-1.1710113378170024,24.59123809415705,9.36809070253602,12.546550048039311,420.0,0.1033846153846154,0.12266246105173052,0.123,29.888694387235354,29.889,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
211,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-12.295549298078614,-12.295549298078614,-1.171004695055106,-1.171004695055106,24.591098596157227,9.368037560440849,12.546478875590424,420.0,0.1033846153846154,0.12266315687944651,0.123,29.888863936922938,29.889,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
212,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-11.700140898797263,-11.700140898797263,-1.114299133218787,-1.114299133218787,23.400281797594527,8.914393065750296,11.938919284487003,420.0,0.1033846153846154,0.12890536152639193,0.129,31.409878152644968,31.410,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
219,cross_frame_bracing,stabilizer,1,3,3,278.0287754891569,single,10.5,1.96875,42.875,15.695312499999998,0.4330127018922193,2.0207259421636903,642.0799534845071,137.5885614609658,-11.70007114979801,-11.70007114979801,-1.1142924904569533,-1.1142924904569533,23.40014229959602,8.914339923655627,11.938848112038787,420.0,0.1033846153846154,0.12890612998496365,0.129,31.41006540001635,31.410,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida
