loadcase,node_id,Fx,Fy,Fz,Mx,My,Mz
LC1_carga_central_distribuida,22,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,24,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,26,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,28,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,30,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,32,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,34,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,36,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,38,0.0,0.0,-88.25985,0.0,0.0,0.0
LC1_carga_central_distribuida,40,0.0,0.0,-88.25985,0.0,0.0,0.0
