id,i,j,group,n_sticks,A,Asy,Asz,Iy,Iz,J,E,G,Ky,Kz,L
1,1,5,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
2,2,6,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
3,5,9,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
4,6,10,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780306
5,9,13,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
6,10,14,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780306
7,13,17,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
8,14,18,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780305
9,17,21,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
10,18,22,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780305
11,21,25,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
12,22,26,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
13,25,29,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
14,26,30,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
15,29,33,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
16,30,34,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
17,33,37,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
18,34,38,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
19,37,41,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
20,38,42,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780306
21,41,45,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
22,42,46,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780305
23,45,49,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
24,46,50,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780306
25,49,53,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
26,50,54,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,106.51030205780306
27,53,57,bottom_chord,4,42.0,42.0,42.0,126.0,171.5,104.125,6000.0,500.0,1.0,1.0,100.0
28,54,58,top_chord,5,52.5,52.5,52.5,1824.24375,2028.775,1348.5565625,6000.0,500.0,0.8,0.8,100.0
29,1,2,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,73.33333333333333
30,5,6,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,73.33333333333333
31,9,10,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,110.0
32,13,14,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,146.66666666666669
33,17,18,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,183.33333333333334
34,21,22,vertical,3,31.5,31.5,31.5,53.15625,128.625,63.623437499999994,6000.0,500.0,1.0,1.0,220.0
