id,x,y,z,level,side,x_station
1,-100.0,-85.0,0.0,bottom,L,-100.0
2,-100.0,-85.0,73.33333333333333,top,L,-100.0
3,-100.0,85.0,0.0,bottom,R,-100.0
4,-100.0,85.0,73.33333333333333,top,R,-100.0
5,0.0,-85.0,0.0,bottom,L,0.0
6,0.0,-85.0,73.33333333333333,top,L,0.0
7,0.0,85.0,0.0,bottom,R,0.0
8,0.0,85.0,73.33333333333333,top,R,0.0
9,100.0,-85.0,0.0,bottom,L,100.0
10,100.0,-85.0,110.0,top,L,100.0
11,100.0,85.0,0.0,bottom,R,100.0
12,100.0,85.0,110.0,top,R,100.0
13,200.0,-85.0,0.0,bottom,L,200.0
14,200.0,-85.0,146.66666666666669,top,L,200.0
15,200.0,85.0,0.0,bottom,R,200.0
16,200.0,85.0,146.66666666666669,top,R,200.0
17,300.0,-85.0,0.0,bottom,L,300.0
18,300.0,-85.0,183.33333333333334,top,L,300.0
19,300.0,85.0,0.0,bottom,R,300.0
20,300.0,85.0,183.33333333333334,top,R,300.0
21,400.0,-85.0,0.0,bottom,L,400.0
22,400.0,-85.0,220.0,top,L,400.0
23,400.0,85.0,0.0,bottom,R,400.0
24,400.0,85.0,220.0,top,R,400.0
25,500.0,-85.0,0.0,bottom,L,500.0
26,500.0,-85.0,220.0,top,L,500.0
27,500.0,85.0,0.0,bottom,R,500.0
28,500.0,85.0,220.0,top,R,500.0
29,600.0,-85.0,0.0,bottom,L,600.0
30,600.0,-85.0,220.0,top,L,600.0
31,600.0,85.0,0.0,bottom,R,600.0
32,600.0,85.0,220.0,top,R,600.0
33,700.0,-85.0,0.0,bottom,L,700.0
34,700.0,-85.0,220.0,top,L,700.0
35,700.0,85.0,0.0,bottom,R,700.0
36,700.0,85.0,220.0,top,R,700.0
37,800.0,-85.0,0.0,bottom,L,800.0
38,800.0,-85.0,220.0,top,L,800.0
39,800.0,85.0,0.0,bottom,R,800.0
40,800.0,85.0,220.0,top,R,800.0
41,900.0,-85.0,0.0,bottom,L,900.0
42,900.0,-85.0,183.33333333333331,top,L,900.0
43,900.0,85.0,0.0,bottom,R,900.0
44,900.0,85.0,183.33333333333331,top,R,900.0
45,1000.0,-85.0,0.0,bottom,L,1000.0
46,1000.0,-85.0,146.66666666666666,top,L,1000.0
47,1000.0,85.0,0.0,bottom,R,1000.0
48,1000.0,85.0,146.66666666666666,top,R,1000.0
49,1100.0,-85.0,0.0,bottom,L,1100.0
50,1100.0,-85.0,109.99999999999999,top,L,1100.0
51,1100.0,85.0,0.0,bottom,R,1100.0
52,1100.0,85.0,109.99999999999999,top,R,1100.0
53,1200.0,-85.0,0.0,bottom,L,1200.0
54,1200.0,-85.0,73.33333333333331,top,L,1200.0
55,1200.0,85.0,0.0,bottom,R,1200.0
56,1200.0,85.0,73.33333333333331,top,R,1200.0
57,1300.0,-85.0,0.0,bottom,L,1300.0
58,1300.0,-85.0,73.33333333333331,top,L,1300.0
59,1300.0,85.0,0.0,bottom,R,1300.0
60,1300.0,85.0,73.33333333333331,top,R,1300.0
