member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state
1,1,5,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,0.09232170521076502,0.0021981358383515483,tension
2,2,6,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-0.3692868208266087,-0.007034034682411594,compression
3,5,9,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,-2.5331214703605798,-0.06031241596096618,compression
4,6,10,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-228.18169367387904,-4.346317974740553,compression
5,9,13,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,208.86548138691444,4.972987652069391,tension
6,10,14,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-335.9328135841853,-6.398720258746386,compression
7,13,17,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,309.3569539261138,7.365641760145567,tension
8,14,18,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-397.0048819690408,-7.561997751791253,compression
9,17,21,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,366.5934870678903,8.728416358759294,tension
10,18,22,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-435.37401429713947,-8.292838367564562,compression
11,21,25,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,402.40320315547336,9.58102864655889,tension
12,22,26,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-465.3387140222075,-8.863594552803953,compression
13,25,29,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,458.7900295923187,10.923572133150445,tension
14,26,30,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-481.4178898133914,-9.169864567874122,compression
15,29,33,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,457.3789979974989,10.889976142797593,tension
16,30,34,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-474.86922839813644,-9.045128159964504,compression
17,33,37,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,393.601150570004,9.371455965952476,tension
18,34,38,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-451.01991559462294,-8.590855535135676,compression
19,37,41,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,349.3892920066744,8.318792666825582,tension
20,38,42,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-412.68084549728275,-7.860587533281576,compression
21,41,45,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,286.37506322258196,6.818453886251952,tension
22,42,46,top_chord,5,106.51030205780305,52.5,1824.24375,2028.775,0.8,0.8,-365.7000686385654,-6.965715593115532,compression
23,45,49,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,186.9513923196903,4.451223626659293,tension
24,46,50,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-299.30096996824335,-5.700970856537968,compression
25,49,53,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,-0.3612672995948252,-0.008601602371305361,compression
26,50,54,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-196.0315777525748,-3.7339348143347584,compression
27,53,57,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,-5.595524044110789e-13,-1.3322676295501878e-14,compression
28,54,58,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,0.1806336497977623,0.003440640948528806,tension
29,1,2,vertical,3,73.33333333333333,31.5,53.15625,128.625,1.0,1.0,-0.056911527611472085,-0.001806715162268955,compression
30,5,6,vertical,3,73.33333333333333,31.5,53.15625,128.625,1.0,1.0,-236.46498335506294,-7.5068248684146965,compression
31,9,10,vertical,3,110.0,31.5,53.15625,128.625,1.0,1.0,-151.78024778667293,-4.818420564656283,compression
32,13,14,vertical,3,146.66666666666669,31.5,53.15625,128.625,1.0,1.0,-108.86803802707443,-3.4561281913356963,compression
33,17,18,vertical,3,183.33333333333334,31.5,53.15625,128.625,1.0,1.0,-83.86406122416996,-2.6623511499736496,compression
34,21,22,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-67.58029935488204,-2.145406328726414,compression
35,25,26,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-121.1609464208465,-3.8463792514554442,compression
36,29,30,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-76.86736683339021,-2.4402338677266733,compression
37,33,34,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-109.44113319203773,-3.474321688636118,compression
38,37,38,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-60.53137224372144,-1.9216308648800458,compression
39,41,42,vertical,3,183.33333333333331,31.5,53.15625,128.625,1.0,1.0,-74.65172065685294,-2.3698958938683474,compression
